0,1,2,3,4
18865,5621,5621,5466,5594
61303,37104,37104,38373,43942
39037,20578,20578,21081,21978
19374,8261,8261,6650,6904
14008,7126,7126,7389,7064
40958,40692,40692,37029,35883
15993,10422,10422,9289,7501
6324,5383,5383,5135,5070
38610,26007,26007,25645,24947
27897,16450,16450,16705,16782
5916,3332,3332,3596,3494
17479,9271,9271,9618,9535
26951,9108,9108,10383,11461
33947,28599,28599,23972,21301
5737,4621,4621,4443,4190
27145,15577,15577,12667,10789
23522,7320,7320,6954,10490
23703,11885,11885,12049,11002
24947,10486,10486,10072,12074
12522,11197,11197,10362,7394
27882,17636,17636,16393,14798
30201,10845,10845,10176,12209
24332,14820,14820,9415,8914
22483,17865,17865,15729,14636
9814,7230,7230,7090,6954
32826,19667,19667,20209,20192
27622,17803,17803,14486,15465
18454,7440,7440,7117,6654
32511,24395,24395,20819,18313
21943,14108,14108,11972,11015
37556,21804,21804,21709,21235
21843,15637,15637,14213,13107
39067,29105,29105,30618,33911
7792,7009,7009,6203,5778
62124,46979,46979,44788,48571
25982,11397,11397,12638,10858
33563,18885,18885,16401,17425
24941,10488,10488,10070,12078
28951,20560,20560,14365,12214
12411,11190,11190,10312,7371
57685,47806,47806,43426,39010
17052,8377,8377,7441,5854
27029,16078,16078,14838,14904
58260,16999,16999,16105,17551
30195,10848,10848,10175,12199
44108,23843,23843,20772,22223
23365,15157,15157,9742,8853
42216,32490,32490,33734,34038
37547,31976,31976,30370,27674
22131,17489,17489,15353,14253
19043,7638,7638,7249,7409
9841,7257,7257,7129,6896
27631,17813,17813,14487,15472
16596,7376,7376,7236,6361
31126,23175,23175,19969,18067
22761,12153,12153,10482,9564
37668,21792,21792,21669,21196
19655,10201,10201,9348,11136
23703,15166,15166,14944,12342
28224,22900,22900,19920,17683
12942,6752,6752,6964,8341
22122,10827,10827,10427,10938
55608,30590,30590,28117,30050
18334,7888,7888,6608,6295
26387,24426,24426,22900,20274
33510,14000,14000,11277,11621
43912,38562,38562,34537,32927
52574,43285,43285,39726,40627
33298,28119,28119,26546,28617
29028,16754,16754,14916,15028
26414,12081,12081,10594,9566
44347,23805,23805,14244,10127
18782,14700,14700,10091,9957
7437,3850,3850,3933,4099
26360,14516,14516,9176,7487
10285,4435,4435,4383,4434
45850,4012,4012,3709,3420
10318,7700,7700,6996,6429
11025,5145,5145,6114,5576
17008,7820,7820,7141,7473
10714,6060,6060,5820,5722
9384,6184,6184,5806,5308
30301,13048,13048,11513,14874
5750,5095,5095,4720,4498
72217,65278,65278,61991,59096
46180,22601,22601,21293,25598
42654,30792,30792,30321,29639
69243,56123,56123,56218,53496
70649,60069,60069,56767,53216
64146,52541,52541,49721,51149
51093,37679,37679,39909,37236
83811,61536,61536,58295,56571
37623,14591,14591,14992,16726
75976,69606,69606,67653,61500
69549,46320,46320,43808,46512
59366,53446,53446,48937,43893
74499,52060,52060,49615,55751
58618,50492,50492,49559,46764
50463,42187,42187,41795,35374
140291,123058,123058,116281,102686
90941,82598,82598,83545,74976
103069,100873,100873,97457,90618
107424,83132,83132,80483,84353
114614,92888,92888,96231,91730
62284,45666,45666,47326,48581
55867,41331,41331,36440,34623
57432,25655,25655,24672,26800
49909,39553,39553,36823,35521
45615,35027,35027,30954,30753
61630,38725,38725,39013,39017
33745,32674,32674,30047,26296
121811,94257,94257,85377,78813
60942,46656,46656,42412,42627
42089,32506,32506,28257,27898
27022,29570,29570,23791,24150
63640,39179,39179,33978,36491
31830,23621,23621,23804,21544
96586,78397,78397,80192,85312
45572,37945,37945,34854,34163
69245,47003,47003,45923,49488
77185,52221,52221,48577,56024
71486,44743,44743,43984,49982
55630,38888,38888,39880,35773
38800,12177,12177,12002,12797
76500,56352,56352,50187,51378
35881,29051,29051,28861,26713
31539,21123,21123,19664,17354
35305,24831,24831,23789,25451
49328,36817,36817,33498,34595
40565,22092,22092,19504,22201
53678,37628,37628,36403,39379
62784,43060,43060,41414,44644
49555,34823,34823,30143,31493
73808,55219,55219,53732,54055
77078,60881,60881,58118,57898
65296,56090,56090,54881,51974
80208,66496,66496,62911,68601
68556,50628,50628,49035,51847
72937,62339,62339,61032,56540
64163,51738,51738,49496,48203
61934,54109,54109,52543,51938
55541,43040,43040,40282,42595
53958,42519,42519,41486,36564
64141,57167,57167,46817,43527
81667,63580,63580,58166,55172
76500,56352,56352,50187,51378
35881,29051,29051,28861,26713
31539,21123,21123,19664,17354
35305,24831,24831,23789,25451
49328,36817,36817,33498,34595
40565,22092,22092,19504,22201
35186,33882,33882,31587,25686
79972,54768,54768,51891,52498
63637,43973,43973,41904,42975
47803,43594,43594,39854,38056
42171,27533,27533,27351,27464
121047,92854,92854,76436,83226
71141,46296,46296,44897,43724
66695,37923,37923,31754,30225
38466,21780,21780,21036,21306
35212,29992,29992,27256,28064
58326,42874,42874,37340,42106
76447,50487,50487,52644,50296
56607,53880,53880,48976,39260
65308,49484,49484,44672,48184
46757,27648,27648,26002,24988
68130,57141,57141,52570,60065
74345,58603,58603,55961,52835
80632,54649,54649,56436,54300
51146,42951,42951,41137,41977
52561,34547,34547,35677,32658
67049,56709,56709,55570,51213
47620,27639,27639,26706,24206
56107,28365,28365,26708,24398
62727,43088,43088,42239,38840
37616,16622,16622,16094,15506
38917,26812,26812,27353,26519
55439,45412,45412,45539,41177
45572,37945,37945,34854,34163
54365,46489,46489,46316,43842
58086,52061,52061,49519,46950
97013,57245,57245,56731,59080
51119,37394,37394,32271,31059
66140,41962,41962,43115,47422
17303,12897,12897,12697,13532
18331,10211,10211,9271,9483
33319,28982,28982,29292,29477
29881,18155,18155,17685,18077
29589,13390,13390,11688,9688
18386,10727,10727,10519,10359
40909,25909,25909,22743,22881
13917,10292,10292,8504,8324
38491,26881,26881,21331,18859
77578,66539,66539,54135,53221
37947,24524,24524,21234,19874
9331,6059,6059,5868,5399
29407,17679,17679,17991,17512
10387,7492,7492,6840,7177
49906,37553,37553,33741,31900
30500,30116,30116,28662,20789
48692,29445,29445,26756,26020
36995,28291,28291,26788,27360
28475,19993,19993,20348,22975
27985,26095,26095,22250,20637
29329,26108,26108,23302,17940
40772,26392,26392,27205,27751
49111,36856,36856,35564,30799
26528,17454,17454,17406,17698
29130,20372,20372,20102,21418
18393,11226,11226,10155,10296
20347,7918,7918,7635,8318
35544,31076,31076,27682,23851
47108,30185,30185,30649,37038
